symbol,name,exchange,assetType,ipoDate,delistingDate,status
A,Agilent Technologies Inc,NYSE,Stock,11-18-99,null,Active
AA,Alcoa Corp,NYSE,Stock,10-18-16,null,Active
AAA,AXS FIRST PRIORITY CLO BOND ETF ,NYSE ARCA,ETF,09-09-20,null,Active
AAAU,Goldman Sachs Physical Gold ETF,BATS,ETF,08-15-18,null,Active
AAC,Ares Acquisition Corporation - Class A,NYSE,Stock,03-25-21,null,Active
AAC-U,Ares Acquisition Corporation - Units (1 Ord Share Class A & 1/5 War),NYSE,Stock,02-02-21,null,Active
AAC-WS,Ares Acquisition Corporation - Warrants (01/01/9999),NYSE,Stock,03-25-21,null,Active
AACG,ATA Creativity Global,NASDAQ,Stock,01-29-08,null,Active
AACI,Armada Acquisition Corp I,NASDAQ,Stock,11-10-21,null,Active
AACIU,Armada Acquisition Corp I - Units (1 Ord & 1/2 War),NASDAQ,Stock,08-13-21,null,Active
AACIW,Armada Acquisition Corp I - Warrants (13/08/2026),NASDAQ,Stock,11-11-21,null,Active
AADI,Aadi Bioscience Inc,NASDAQ,Stock,08-08-17,null,Active
AADR,ADVISORSHARES DORSEY WRIGHT ADR ETF ,NASDAQ,ETF,07-21-10,null,Active
AAIC,Arlington Asset Investment Corp - Class A,NYSE,Stock,12-23-97,null,Active
AAIC-P-B,Arlington Asset Investment Corp,NYSE,Stock,05-16-17,null,Active
AAIC-P-C,Arlington Asset Investment Corp,NYSE,Stock,03-06-19,null,Active
AAIN,Arlington Asset Investment Corp,NYSE,Stock,07-19-21,null,Active
AAL,American Airlines Group Inc,NASDAQ,Stock,09-27-05,null,Active
AAM-P-A,Apollo Asset Management Inc,NYSE,Stock,01-03-22,null,Active
AAM-P-B,Apollo Asset Management Inc,NYSE,Stock,01-03-22,null,Active
AAMC,Altisource Asset Management Corp,NYSE MKT,Stock,12-13-12,null,Active
AAME,Atlantic American Corp,NASDAQ,Stock,09-07-84,null,Active
AAN,Aarons Company Inc (The),NYSE,Stock,11-25-20,null,Active
AAN-W,Aarons Holdings Company Inc When Issued,NYSE,Stock,11-25-20,null,Active
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,09-26-13,null,Active
AAON,AAON Inc,NASDAQ,Stock,12-16-92,null,Active
AAP,Advance Auto Parts Inc,NYSE,Stock,11-29-01,null,Active
AAPB,GraniteShares 1.75x Long AAPL Daily ETF,NASDAQ,ETF,08-09-22,null,Active
AAPD,Direxion Daily AAPL Bear 1X Shares,NASDAQ,ETF,08-09-22,null,Active
AAPL,Apple Inc,NASDAQ,Stock,12-12-80,null,Active
AAPU,Direxion Daily AAPL Bull 1.5X Shares,NASDAQ,ETF,08-09-22,null,Active
AAQC,Accelerate Acquisition Corp - Class A,NYSE,Stock,05-10-21,null,Active
AAQC-U,Accelerate Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),NYSE,Stock,03-18-21,null,Active
AAQC-WS,Accelerate Acquisition Corp - Warrants (15/03/2028),NYSE,Stock,05-10-21,null,Active
AAT,American Assets Trust Inc,NYSE,Stock,01-13-11,null,Active
AATC,Autoscope Technologies Corporation,NASDAQ,Stock,07-21-21,null,Active
AAU,Almaden Minerals Ltd,NYSE MKT,Stock,12-20-05,null,Active
AAWW,Atlas Air Worldwide Holdings Inc,NASDAQ,Stock,11-09-05,null,Active
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,ETF,08-15-08,null,Active
AB,AllianceBernstein Holding Lp,NYSE,Stock,04-15-88,null,Active
ABB,ABB Ltd,NYSE,Stock,04-06-01,null,Active
ABBV,Abbvie Inc,NYSE,Stock,01-02-13,null,Active
ABC,Amerisource Bergen Corp,NYSE,Stock,04-04-95,null,Active
ABCB,Ameris Bancorp,NASDAQ,Stock,05-19-94,null,Active
ABCL,AbCellera Biologics Inc,NASDAQ,Stock,12-11-20,null,Active
ABCM,Abcam,NASDAQ,Stock,12-03-10,null,Active
ABEO,Abeona Therapeutics Inc,NASDAQ,Stock,09-19-80,null,Active
ABEQ,Absolute Select Value ETF,NYSE ARCA,ETF,01-22-20,null,Active
ABEV,Ambev S.A.,NYSE,Stock,03-05-97,null,Active
ABG,Asbury Automotive Group Inc,NYSE,Stock,03-21-02,null,Active
ABGI,ABG Acquisition Corp I - Class A,NASDAQ,Stock,02-17-21,null,Active
ABIO,ARCA biopharma Inc,NASDAQ,Stock,08-08-97,null,Active
ABM,ABM Industries Inc,NYSE,Stock,07-19-84,null,Active
ABMD,Abiomed Inc,NASDAQ,Stock,07-30-87,null,Active
ABNB,Airbnb Inc - Class A,NASDAQ,Stock,12-10-20,null,Active
ABOS,Acumen Pharmaceuticals Inc,NASDAQ,Stock,07-01-21,null,Active
ABR,Arbor Realty Trust Inc,NYSE,Stock,04-07-04,null,Active
ABR-P-D,Arbor Realty Trust Inc,NYSE,Stock,05-26-21,null,Active
ABR-P-E,Arbor Realty Trust Inc,NYSE,Stock,08-05-21,null,Active
ABR-P-F,Arbor Realty Trust Inc,NYSE,Stock,10-05-21,null,Active
ABSI,Absci Corp,NASDAQ,Stock,07-22-21,null,Active
ABST,Absolute Software Corporation,NASDAQ,Stock,10-28-20,null,Active
ABT,Abbott Laboratories,NYSE,Stock,04-06-83,null,Active
ABUS,Arbutus Biopharma Corp,NASDAQ,Stock,08-03-15,null,Active
ABVC,ABVC BioPharma Inc,NASDAQ,Stock,10-11-17,null,Active
AC,Associated Capital Group Inc - Class A,NYSE,Stock,12-01-15,null,Active
ACA,Arcosa Inc,NYSE,Stock,10-30-18,null,Active
ACAB,Atlantic Coastal Acquisition Corp II - Class A,NASDAQ,Stock,03-09-22,null,Active
ACABU,Atlantic Coastal Acquisition Corp II - Units (1 Ord Class A & 1/2 War),NASDAQ,Stock,01-14-22,null,Active
ACABW,Atlantic Coastal Acquisition Corp II - Warrants (13/01/2027),NASDAQ,Stock,03-07-22,null,Active
ACAC,Acri Capital Acquisition Corporation,NASDAQ,Stock,08-08-22,null,Active
ACACU,Acri Capital Acquisition Corp - Units (1 Ord Class A & 1/2 War),NASDAQ,Stock,06-10-22,null,Active
ACACW,Acri Capital Acquisition Corp - Warrants (01/02/2029),NASDAQ,Stock,12-15-20,null,Active
ACAD,Acadia Pharmaceuticals Inc,NASDAQ,Stock,05-27-04,null,Active
ACAH,Atlantic Coastal Acquisition Corp - Class A,NASDAQ,Stock,04-28-21,null,Active
ACAHU,Atlantic Coastal Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),NASDAQ,Stock,03-04-21,null,Active
ACAHW,Atlantic Coastal Acquisition Corp - Warrants (02/03/2026),NASDAQ,Stock,04-29-21,null,Active
ACAQ,Athena Consumer Acquisition Corp - Class A,NYSE,Stock,12-13-21,null,Active
ACAQ-U,Athena Consumer Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),NYSE,Stock,10-20-21,null,Active
ACAQ-WS,Athena Consumer Acquisition Corp - Warrants(31/07/2028),NYSE,Stock,12-10-21,null,Active
ACAX,Alset Capital Acquisition Corp - Class A,NASDAQ,Stock,03-24-22,null,Active
ACAXR,Alset Capital Acquisition Corp,NASDAQ,Stock,03-24-22,null,Active
ACAXU,Alset Capital Acquisition Corp - Units (1 Ord Class A & 1/2 War & 1 Right),NASDAQ,Stock,02-01-22,null,Active
ACAXW,Alset Capital Acquisition Corp - Warrants (31/01/2027),NASDAQ,Stock,03-24-22,null,Active
ACB,Aurora Cannabis Inc,NASDAQ,Stock,07-11-14,null,Active
ACBA,Ace Global Business Acquisition Ltd,NASDAQ,Stock,05-26-21,null,Active
ACBAU,Ace Global Business Acquisition Ltd - Units (1 Ord & 1 War),NASDAQ,Stock,04-06-21,null,Active
ACBAW,Ace Global Business Acquisition Ltd - Warrants (26/03/2026),NASDAQ,Stock,05-21-21,null,Active
ACCD,Accolade Inc,NASDAQ,Stock,07-02-20,null,Active
ACCO,Acco Brands Corporation,NYSE,Stock,08-17-05,null,Active
ACDI,Ascendant Digital Acquisition Corp III - Class A,NYSE,Stock,12-31-21,null,Active
ACDI-U,Ascendant Digital Acquisition Corp III - Units (1 Ord Share Class A & 1/2 War),NYSE,Stock,11-10-21,null,Active
ACDI-WS,Ascendant Digital Acquisition Corp III - Warrants (01/01/9999),NYSE,Stock,01-03-22,null,Active
ACEL,Accel Entertainment Inc - Class A1,NYSE,Stock,11-21-19,null,Active
ACER,Acer Therapeutics Inc,NASDAQ,Stock,09-22-17,null,Active
ACES,ALPS Clean Energy ETF,NYSE ARCA,ETF,06-29-18,null,Active
ACET,Adicet Bio Inc,NASDAQ,Stock,01-26-18,null,Active
ACEV,ACE Convergence Acquisition Corp - Class A,NASDAQ,Stock,09-21-20,null,Active
ACEVU,ACE Convergence Acquisition Corp - Units (1 Ord Class A & 1/2 War),NASDAQ,Stock,07-28-20,null,Active
ACEVW,ACE Convergence Acquisition Corp - Warrants (30/09/2027),NASDAQ,Stock,09-17-20,null,Active
ACGL,Arch Capital Group Ltd,NASDAQ,Stock,09-14-95,null,Active
ACGLN,Arch Capital Group Ltd,NASDAQ,Stock,06-03-21,null,Active
ACGLO,Arch Capital Group Ltd,NASDAQ,Stock,08-15-17,null,Active
ACHC,Acadia Healthcare Company Inc,NASDAQ,Stock,03-04-94,null,Active
ACHL,Achilles Therapeutics Plc,NASDAQ,Stock,03-31-21,null,Active
ACHR,Archer Aviation Inc - Class A,NYSE,Stock,12-18-20,null,Active
ACHR-WS,Archer Aviation Inc Wt,NYSE,Stock,09-17-21,null,Active
ACHV,Achieve Life Sciences Inc,NASDAQ,Stock,10-13-95,null,Active
ACI,Albertsons Companies Inc - Class A,NYSE,Stock,06-26-20,null,Active
ACII,Atlas Crest Investment Corp II - Class A,NYSE,Stock,03-29-21,null,Active
